 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Out-Dez/2021
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0504 Processamento de tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"140045 PACARAIMA";-;-;-;3;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10
"140047 RORAINOPOLIS";-;-;-;-;6;-;1;-;-;-;-;-;-;-;1;1;-;-;1;1;-;-;-;-;-;-;-;11
"140050 SAO JOAO DA BALIZA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"140060 SAO LUIZ";-;-;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"140070 UIRAMUTA";-;-;-;1;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"150010 ABAETETUBA";-;-;-;5;45;8;5;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;1;-;-;-;-;67
"150013 ABEL FIGUEIREDO";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"150020 ACARA";-;-;-;-;11;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;16
"150030 AFUA";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"150034 AGUA AZUL DO NORTE";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"150040 ALENQUER";1;-;-;2;32;-;-;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;38
"150050 ALMEIRIM";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"150060 ALTAMIRA";-;-;-;-;70;5;2;-;-;-;-;1;-;-;-;4;1;-;-;4;-;-;2;1;-;-;-;90
"150070 ANAJAS";-;-;-;-;3;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5
"150080 ANANINDEUA";-;-;-;1;93;29;11;3;-;-;-;1;3;-;5;5;2;-;2;6;-;-;11;2;-;-;-;174
"150085 ANAPU";-;-;-;-;17;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;22
"150090 AUGUSTO CORREA";-;-;-;-;13;2;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;18
"150095 AURORA DO PARA";-;-;-;-;5;1;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;9
"150100 AVEIRO";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;6
"150110 BAGRE";-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150120 BAIAO";-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"150130 BARCARENA";-;-;-;2;23;5;1;1;-;-;-;-;-;-;1;1;1;-;-;-;-;-;5;-;-;-;-;40
"150140 BELEM";-;-;-;15;469;96;45;2;4;-;-;8;9;-;21;34;12;1;2;16;-;-;67;4;-;-;1;806
"150145 BELTERRA";-;-;-;-;10;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;13
"150150 BENEVIDES";-;-;-;1;13;2;3;-;-;-;-;-;-;-;-;2;1;1;-;-;-;-;1;-;-;-;-;24
"150157 BOM JESUS DO TOCANTINS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150160 BONITO";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;4
"150170 BRAGANCA";-;-;-;-;29;2;3;-;-;-;-;-;-;-;1;5;1;-;-;-;1;-;-;-;-;-;-;42
"150172 BRASIL NOVO";-;-;-;-;6;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;9
"150175 BREJO GRANDE DO ARAGUAIA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150178 BREU BRANCO";-;-;-;-;5;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"150180 BREVES";-;-;-;-;57;2;2;-;-;-;-;-;1;-;-;4;-;-;-;5;-;-;-;-;-;-;-;71
"150190 BUJARU";-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;4
"150195 CACHOEIRA DO PIRIA";-;1;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"150200 CACHOEIRA DO ARARI";-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;4
"150210 CAMETA";-;-;-;-;19;6;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;1;-;-;-;-;30
"150215 CANAA DOS CARAJAS";-;-;-;-;20;1;-;1;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;25
"150220 CAPANEMA";-;-;-;-;25;1;-;-;-;-;-;-;-;-;-;3;-;1;-;-;-;-;1;1;-;-;-;32
"150230 CAPITAO POCO";-;-;-;-;4;2;-;-;-;-;-;-;-;-;1;4;1;-;1;-;-;-;-;-;-;-;-;13
"150240 CASTANHAL";-;-;-;-;95;11;4;-;-;-;-;1;2;-;1;3;-;1;-;-;-;-;3;1;-;-;-;122
"150250 CHAVES";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;5
"150260 COLARES";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;4
"150270 CONCEICAO DO ARAGUAIA";-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"150275 CONCORDIA DO PARA";-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;6
"150276 CUMARU DO NORTE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150277 CURIONOPOLIS";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;10
"150280 CURRALINHO";-;-;-;-;17;2;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;21
"150285 CURUA";-;-;-;-;3;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"150290 CURUCA";-;-;-;1;13;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"150293 DOM ELISEU";-;-;-;-;16;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;19
"150295 ELDORADO DOS CARAJAS";-;-;-;-;5;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"150300 FARO";-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150304 FLORESTA DO ARAGUAIA";-;-;-;-;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"150307 GARRAFAO DO NORTE";-;-;-;1;5;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"150309 GOIANESIA DO PARA";-;-;-;-;4;-;2;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;8
"150310 GURUPA";-;-;-;-;5;-;1;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;8
"150320 IGARAPE-ACU";-;-;-;-;21;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"150330 IGARAPE-MIRI";-;-;-;-;14;6;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"150340 INHANGAPI";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"150345 IPIXUNA DO PARA";-;-;-;-;16;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;-;-;20
"150350 IRITUIA";-;-;-;-;18;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;21
"150360 ITAITUBA";-;-;-;1;81;5;5;1;-;-;-;2;-;-;-;1;-;-;1;-;-;-;7;-;-;-;-;104
"150370 ITUPIRANGA";-;-;-;-;14;1;2;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;19
"150375 JACAREACANGA";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"150380 JACUNDA";-;-;-;-;11;2;3;-;-;-;-;1;1;-;-;1;1;-;-;-;-;-;-;-;-;-;-;20
"150390 JURUTI";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"150400 LIMOEIRO DO AJURU";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;4
"150405 MAE DO RIO";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;8
"150410 MAGALHAES BARATA";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"150420 MARABA";-;-;-;-;80;5;9;-;-;-;-;2;-;-;-;15;3;-;-;2;-;-;1;-;-;-;-;117
"150430 MARACANA";-;-;-;2;3;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"150440 MARAPANIM";-;-;-;-;10;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;15
"150442 MARITUBA";-;-;-;1;28;3;3;-;1;-;-;1;-;-;2;1;-;-;-;2;-;-;2;-;-;-;-;44
"150445 MEDICILANDIA";-;-;-;-;6;2;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;-;12
"150450 MELGACO";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"150460 MOCAJUBA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;1;-;-;2;1;-;-;-;-;-;-;7
"150470 MOJU";-;-;-;3;17;4;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;-;27
"150475 MOJUI DOS CAMPOS";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;7
"150480 MONTE ALEGRE";-;-;-;8;23;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;33
"150490 MUANA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"150495 NOVA ESPERANCA DO PIRIA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150497 NOVA IPIXUNA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;7
"150500 NOVA TIMBOTEUA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"150503 NOVO PROGRESSO";-;-;-;-;11;1;1;1;1;-;-;-;1;-;-;-;-;2;-;2;-;-;-;-;-;-;-;20
"150506 NOVO REPARTIMENTO";-;-;-;-;15;2;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"150510 OBIDOS";-;-;-;6;18;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
"150520 OEIRAS DO PARA";-;-;-;-;3;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;7
"150530 ORIXIMINA";-;-;-;-;29;1;1;2;-;-;-;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;1;37
"150540 OUREM";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;-;8
"150543 OURILANDIA DO NORTE";-;-;-;-;14;1;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;18
"150548 PACAJA";-;-;-;-;12;-;1;-;-;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;16
"150549 PALESTINA DO PARA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150550 PARAGOMINAS";-;-;-;-;27;6;3;1;-;-;-;1;1;-;-;1;4;2;-;1;-;-;7;-;-;-;-;54
"150553 PARAUAPEBAS";-;-;-;-;51;4;5;-;-;-;-;-;-;-;3;7;-;1;-;1;1;-;3;-;-;-;-;76
"150555 PAU D'ARCO";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"150560 PEIXE-BOI";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150565 PLACAS";-;-;-;1;3;1;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;7
"150570 PONTA DE PEDRAS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"150580 PORTEL";-;-;-;-;11;1;3;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"150590 PORTO DE MOZ";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;7
"150600 PRAINHA";-;-;-;1;7;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"150610 PRIMAVERA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150611 QUATIPURU";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;3
"150613 REDENCAO";-;-;-;-;60;1;1;-;-;-;-;-;-;-;-;-;3;-;-;1;-;-;1;-;-;-;-;67
"150616 RIO MARIA";-;-;-;-;8;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"150618 RONDON DO PARA";-;-;-;-;12;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;1;-;-;-;-;17
"150619 RUROPOLIS";-;-;-;-;5;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
"150620 SALINOPOLIS";-;-;-;-;11;2;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;16
"150630 SALVATERRA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;3;-;-;-;-;9
"150635 SANTA BARBARA DO PARA";-;-;-;-;3;1;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;7
"150650 SANTA IZABEL DO PARA";-;-;-;1;17;1;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;5;-;-;-;-;29
"150655 SANTA LUZIA DO PARA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;4
"150658 SANTA MARIA DAS BARREIRAS";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150660 SANTA MARIA DO PARA";-;-;-;3;16;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"150670 SANTANA DO ARAGUAIA";-;-;-;-;6;-;-;1;-;-;-;-;-;-;-;2;-;-;-;1;-;-;1;-;-;-;-;11
"150680 SANTAREM";-;-;-;1;148;14;8;6;-;-;-;8;1;-;2;11;-;1;-;-;-;-;1;1;-;-;-;202
"150690 SANTAREM NOVO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150700 SANTO ANTONIO DO TAUA";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;9
"150710 SAO CAETANO DE ODIVELAS";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;5
"150715 SAO DOMINGOS DO ARAGUAIA";-;-;-;1;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;9
"150720 SAO DOMINGOS DO CAPIM";-;-;-;-;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"150730 SAO FELIX DO XINGU";-;-;-;-;9;2;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;14
"150740 SAO FRANCISCO DO PARA";-;-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"150745 SAO GERALDO DO ARAGUAIA";-;-;-;-;8;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;10
"150746 SAO JOAO DA PONTA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150747 SAO JOAO DE PIRABAS";-;-;-;-;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10
"150750 SAO JOAO DO ARAGUAIA";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"150760 SAO MIGUEL DO GUAMA";-;-;-;8;12;5;1;-;-;-;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;-;30
"150770 SAO SEBASTIAO DA BOA VISTA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150775 SAPUCAIA";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"150780 SENADOR JOSE PORFIRIO";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"150790 SOURE";-;-;-;-;8;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;10
"150795 TAILANDIA";-;-;-;1;19;1;3;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;-;1;-;28
"150796 TERRA ALTA";-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"150797 TERRA SANTA";-;-;-;-;10;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"150800 TOME-ACU";-;-;-;-;14;2;1;-;-;-;-;-;-;-;2;1;-;-;-;1;-;-;4;-;-;-;-;25
"150803 TRACUATEUA";-;-;-;-;9;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;12
"150805 TRAIRAO";-;-;-;-;9;-;1;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;13
"150808 TUCUMA";-;-;-;-;22;1;1;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;1;-;-;-;-;28
"150810 TUCURUI";-;-;-;-;15;-;1;-;-;-;-;1;1;-;-;1;-;-;1;-;-;-;1;-;-;-;-;21
"150812 ULIANOPOLIS";-;-;-;1;10;3;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;17
"150815 URUARA";-;-;-;-;22;-;1;1;-;-;-;2;-;-;-;-;-;-;1;1;1;-;1;-;-;-;-;30
"150820 VIGIA";-;-;-;-;17;5;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;1;-;-;-;-;26
"150830 VISEU";-;-;-;-;11;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"150835 VITORIA DO XINGU";-;-;-;-;16;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;19
"150840 XINGUARA";-;-;-;2;9;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;15
"160010 AMAPA";-;-;-;1;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"160015 PEDRA BRANCA DO AMAPARI";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"160020 CALCOENE";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"160023 FERREIRA GOMES";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"160027 LARANJAL DO JARI";-;-;-;-;12;1;2;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;20
"160030 MACAPA";-;-;-;-;109;23;1;1;-;-;-;1;-;-;3;4;-;-;1;2;-;-;-;-;-;-;-;145
"160040 MAZAGAO";-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"160050 OIAPOQUE";-;-;-;2;13;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"160053 PORTO GRANDE";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"160055 PRACUUBA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"160060 SANTANA";-;-;-;-;41;7;5;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;1;-;-;-;57
"160070 TARTARUGALZINHO";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"160080 VITORIA DO JARI";-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"170025 ABREULANDIA";-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170030 AGUIARNOPOLIS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170035 ALIANCA DO TOCANTINS";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"170040 ALMAS";-;-;-;-;3;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;5
"170070 ALVORADA";-;-;-;-;8;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;11
"170100 ANANAS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170105 ANGICO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170110 APARECIDA DO RIO NEGRO";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170130 ARAGOMINAS";-;-;-;-;2;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"170190 ARAGUACEMA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"170200 ARAGUACU";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"170210 ARAGUAINA";-;-;-;-;70;24;2;-;-;-;-;-;1;-;4;5;2;3;-;3;1;-;8;1;-;-;-;124
"170215 ARAGUANA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"170220 ARAGUATINS";-;-;-;-;17;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;19
"170230 ARAPOEMA";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"170240 ARRAIAS";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;9
"170255 AUGUSTINOPOLIS";-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;17
"170270 AURORA DO TOCANTINS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"170290 AXIXA DO TOCANTINS";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;7
"170300 BABACULANDIA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170305 BANDEIRANTES DO TOCANTINS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170307 BARRA DO OURO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
"170310 BARROLANDIA";-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"170320 BERNARDO SAYAO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170330 BOM JESUS DO TOCANTINS";-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"170360 BRASILANDIA DO TOCANTINS";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"170370 BREJINHO DE NAZARE";-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"170380 BURITI DO TOCANTINS";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"170382 CACHOEIRINHA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170384 CAMPOS LINDOS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;2
