 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Jan-Mar/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"150345 IPIXUNA DO PARA";-;-;-;-;5;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"150350 IRITUIA";-;-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"150360 ITAITUBA";-;-;-;-;50;3;1;2;-;-;-;-;-;-;-;2;-;-;-;1;-;-;-;-;-;-;59
"150370 ITUPIRANGA";-;-;-;-;17;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"150375 JACAREACANGA";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"150380 JACUNDA";-;-;-;-;6;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"150390 JURUTI";-;-;-;-;4;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;7
"150400 LIMOEIRO DO AJURU";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"150405 MAE DO RIO";-;-;-;-;7;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;9
"150410 MAGALHAES BARATA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"150420 MARABA";-;-;-;1;102;4;6;1;1;-;-;3;4;-;1;9;2;-;-;1;-;-;2;-;-;-;137
"150430 MARACANA";-;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150440 MARAPANIM";-;-;-;-;8;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"150442 MARITUBA";-;-;-;4;23;5;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;36
"150445 MEDICILANDIA";-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"150450 MELGACO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;2
"150460 MOCAJUBA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;3
"150470 MOJU";-;-;-;2;18;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;23
"150475 MOJUI DOS CAMPOS";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"150480 MONTE ALEGRE";-;-;-;4;11;3;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;22
"150490 MUANA";-;-;-;3;5;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"150495 NOVA ESPERANCA DO PIRIA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;2
"150497 NOVA IPIXUNA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150500 NOVA TIMBOTEUA";-;-;-;-;2;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"150503 NOVO PROGRESSO";-;-;-;-;7;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
"150506 NOVO REPARTIMENTO";-;-;-;-;17;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"150510 OBIDOS";-;-;-;9;14;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;27
"150520 OEIRAS DO PARA";-;-;-;-;2;-;-;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;6
"150530 ORIXIMINA";-;-;-;-;27;4;2;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;36
"150540 OUREM";-;-;-;-;12;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;16
"150543 OURILANDIA DO NORTE";-;-;-;-;7;-;-;1;-;-;-;-;-;-;-;1;-;-;-;1;-;-;1;-;-;-;11
"150548 PACAJA";-;-;-;-;8;2;1;1;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;14
"150549 PALESTINA DO PARA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150550 PARAGOMINAS";-;-;-;-;33;6;-;-;-;-;-;-;4;-;-;2;1;-;-;1;-;-;6;-;-;-;53
"150553 PARAUAPEBAS";-;-;-;1;40;5;4;1;-;-;-;3;1;-;1;3;-;-;-;1;-;-;2;-;-;-;62
"150555 PAU D'ARCO";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"150563 PICARRA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150565 PLACAS";-;-;-;1;8;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"150570 PONTA DE PEDRAS";-;-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"150580 PORTEL";-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"150590 PORTO DE MOZ";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;3
"150600 PRAINHA";-;-;-;-;5;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"150610 PRIMAVERA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"150611 QUATIPURU";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150613 REDENCAO";-;-;-;-;55;3;2;2;1;-;-;1;-;-;-;2;2;-;-;1;-;-;3;-;-;-;72
"150616 RIO MARIA";-;-;-;-;7;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;9
"150618 RONDON DO PARA";-;-;-;-;5;4;1;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;12
"150619 RUROPOLIS";-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"150620 SALINOPOLIS";-;-;-;1;8;2;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"150630 SALVATERRA";-;-;-;-;7;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;11
"150635 SANTA BARBARA DO PARA";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150640 SANTA CRUZ DO ARARI";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150650 SANTA IZABEL DO PARA";-;-;-;-;19;2;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;24
"150655 SANTA LUZIA DO PARA";-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150658 SANTA MARIA DAS BARREIRAS";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"150660 SANTA MARIA DO PARA";-;-;-;-;7;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;12
"150670 SANTANA DO ARAGUAIA";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"150680 SANTAREM";-;-;-;7;124;12;8;2;-;-;-;3;2;-;3;9;6;1;1;2;-;1;4;1;-;-;186
"150690 SANTAREM NOVO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150700 SANTO ANTONIO DO TAUA";-;-;-;-;8;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"150710 SAO CAETANO DE ODIVELAS";-;-;-;-;3;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;7
"150715 SAO DOMINGOS DO ARAGUAIA";-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150720 SAO DOMINGOS DO CAPIM";-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"150730 SAO FELIX DO XINGU";-;-;-;-;13;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"150740 SAO FRANCISCO DO PARA";-;-;-;-;7;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10
"150745 SAO GERALDO DO ARAGUAIA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"150746 SAO JOAO DA PONTA";-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150747 SAO JOAO DE PIRABAS";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"150750 SAO JOAO DO ARAGUAIA";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;3
"150760 SAO MIGUEL DO GUAMA";-;-;-;-;16;1;2;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;-;-;-;23
"150770 SAO SEBASTIAO DA BOA VISTA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"150775 SAPUCAIA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150780 SENADOR JOSE PORFIRIO";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"150790 SOURE";-;-;-;-;10;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"150795 TAILANDIA";-;-;-;-;20;1;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;24
"150796 TERRA ALTA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150797 TERRA SANTA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150800 TOME-ACU";-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;9
"150803 TRACUATEUA";-;-;-;-;8;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;-;-;13
"150805 TRAIRAO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"150808 TUCUMA";-;-;-;-;19;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;23
"150810 TUCURUI";-;-;-;-;25;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;29
"150812 ULIANOPOLIS";-;-;-;-;7;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10
"150815 URUARA";-;-;-;-;21;-;-;-;-;-;-;1;-;-;-;1;-;-;-;2;-;-;-;-;-;-;25
"150820 VIGIA";-;-;-;-;5;2;3;-;-;-;-;2;-;-;1;1;-;-;1;1;-;-;2;-;-;-;18
"150830 VISEU";-;-;-;-;9;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;11
"150835 VITORIA DO XINGU";-;-;-;-;6;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"150840 XINGUARA";-;-;-;1;16;-;1;1;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;22
"160010 AMAPA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2
"160015 PEDRA BRANCA DO AMAPARI";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"160020 CALCOENE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"160023 FERREIRA GOMES";-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"160027 LARANJAL DO JARI";-;-;-;-;17;2;-;-;-;-;1;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;23
"160030 MACAPA";-;-;-;-;84;26;8;1;-;-;-;5;6;-;1;6;2;-;-;1;-;-;4;-;-;-;144
"160040 MAZAGAO";-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"160050 OIAPOQUE";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"160053 PORTO GRANDE";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"160060 SANTANA";-;-;-;-;26;5;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;38
"160080 VITORIA DO JARI";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170025 ABREULANDIA";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"170030 AGUIARNOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;3
"170035 ALIANCA DO TOCANTINS";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"170040 ALMAS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170070 ALVORADA";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"170100 ANANAS";-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170105 ANGICO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170110 APARECIDA DO RIO NEGRO";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"170130 ARAGOMINAS";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"170190 ARAGUACEMA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"170200 ARAGUACU";-;-;-;-;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"170210 ARAGUAINA";-;-;-;-;90;15;5;1;-;-;-;1;-;-;2;2;2;1;-;4;-;-;4;-;-;-;127
"170215 ARAGUANA";-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"170220 ARAGUATINS";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;9
"170230 ARAPOEMA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"170240 ARRAIAS";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170255 AUGUSTINOPOLIS";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"170270 AURORA DO TOCANTINS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170290 AXIXA DO TOCANTINS";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;4
"170300 BABACULANDIA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"170305 BANDEIRANTES DO TOCANTINS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170307 BARRA DO OURO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"170310 BARROLANDIA";-;-;-;-;4;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"170320 BERNARDO SAYAO";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"170330 BOM JESUS DO TOCANTINS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"170370 BREJINHO DE NAZARE";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"170380 BURITI DO TOCANTINS";-;-;-;-;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"170382 CACHOEIRINHA";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170384 CAMPOS LINDOS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170386 CARIRI DO TOCANTINS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170390 CASEARA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"170410 CENTENARIO";-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"170460 CHAPADA DE AREIA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170510 CHAPADA DA NATIVIDADE";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"170550 COLINAS DO TOCANTINS";-;-;-;-;15;3;-;1;-;-;-;1;-;-;-;1;-;-;-;1;-;-;1;-;-;-;23
"170560 CONCEICAO DO TOCANTINS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170600 COUTO MAGALHAES";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170610 CRISTALANDIA";-;-;-;-;2;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"170625 CRIXAS DO TOCANTINS";-;-;-;-;2;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"170650 DARCINOPOLIS";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"170700 DIANOPOLIS";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"170710 DIVINOPOLIS DO TOCANTINS";-;-;-;1;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;6
"170720 DOIS IRMAOS DO TOCANTINS";-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170730 DUERE";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"170740 ESPERANTINA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170755 FATIMA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"170765 FIGUEIROPOLIS";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"170770 FILADELFIA";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170820 FORMOSO DO ARAGUAIA";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;9
"170830 GOIANORTE";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"170900 GOIATINS";-;-;-;-;7;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;9
"170930 GUARAI";-;-;-;-;8;-;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;12
"170950 GURUPI";-;-;-;1;48;8;5;3;-;-;-;-;-;-;1;1;-;1;-;1;-;-;3;-;-;1;73
"170980 IPUEIRAS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"171050 ITACAJA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"171110 ITAPORA DO TOCANTINS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"171150 JAU DO TOCANTINS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"171180 JUARINA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"171190 LAGOA DA CONFUSAO";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"171195 LAGOA DO TOCANTINS";-;-;-;-;3;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"171200 LAJEADO";-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"171215 LAVANDEIRA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"171240 LIZARDA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"171245 LUZINOPOLIS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"171250 MARIANOPOLIS DO TOCANTINS";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"171320 MIRACEMA DO TOCANTINS";-;-;-;-;9;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"171330 MIRANORTE";-;-;-;2;7;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;2;-;-;-;12
"171360 MONTE DO CARMO";-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;-;-;1;-;-;-;4
"171370 MONTE SANTO DO TOCANTINS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"171380 PALMEIRAS DO TOCANTINS";-;-;-;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"171395 MURICILANDIA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"171420 NATIVIDADE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"171430 NAZARE";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"171488 NOVA OLINDA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;6
"171500 NOVA ROSALANDIA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"171510 NOVO ACORDO";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"171525 NOVO JARDIM";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"171570 PALMEIRANTE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"171575 PALMEIROPOLIS";-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"171610 PARAISO DO TOCANTINS";-;-;-;-;20;7;1;-;1;-;-;2;-;-;1;1;-;-;-;1;-;-;3;-;-;-;37
"171620 PARANA";-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;5
"171630 PAU D'ARCO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"171650 PEDRO AFONSO";-;-;-;-;5;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"171660 PEIXE";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"171665 PEQUIZEIRO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"171670 COLMEIA";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;6
"171700 PINDORAMA DO TOCANTINS";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"171720 PIRAQUE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"171750 PIUM";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"171780 PONTE ALTA DO BOM JESUS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"171790 PONTE ALTA DO TOCANTINS";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"171820 PORTO NACIONAL";-;-;-;-;26;4;4;-;-;-;-;1;2;-;2;1;-;-;-;1;-;-;2;-;-;-;43
"171830 PRAIA NORTE";-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"171840 PRESIDENTE KENNEDY";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"171850 RECURSOLANDIA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
